[RoomSmokeTest] All RoomTemplateSO smoke test
templates=26
boss_shattered_oval_01: floor=694, builtProps=0, propOutsideFloor=0, invalidTemplateProps=0, ok=True
chest_large_donut_vault_01: floor=225, builtProps=0, propOutsideFloor=0, invalidTemplateProps=0, ok=True
chest_large_reliquary_diamond_01: floor=150, builtProps=5, propOutsideFloor=0, invalidTemplateProps=0, ok=True
combatlarge_organic_blob_01: floor=632, builtProps=10, propOutsideFloor=4, invalidTemplateProps=4, ok=False
combatlarge_twin_basins_01: floor=599, builtProps=17, propOutsideFloor=0, invalidTemplateProps=0, ok=True
combat_large_bridge_lobes_01: floor=359, builtProps=12, propOutsideFloor=3, invalidTemplateProps=3, ok=False
combat_large_cross_01: floor=281, builtProps=8, propOutsideFloor=0, invalidTemplateProps=0, ok=True
combat_large_diamond_01: floor=212, builtProps=4, propOutsideFloor=0, invalidTemplateProps=0, ok=True
combat_large_donut_01: floor=373, builtProps=6, propOutsideFloor=0, invalidTemplateProps=0, ok=True
combat_large_hourglass_01: floor=303, builtProps=5, propOutsideFloor=0, invalidTemplateProps=0, ok=True
combat_large_lshape_01: floor=351, builtProps=9, propOutsideFloor=0, invalidTemplateProps=0, ok=True
combat_large_teardrop_01: floor=256, builtProps=6, propOutsideFloor=2, invalidTemplateProps=2, ok=False
corridor_large_zigzag_bridge_01: floor=89, builtProps=14, propOutsideFloor=6, invalidTemplateProps=7, ok=False
elite_large_crescent_01: floor=387, builtProps=5, propOutsideFloor=3, invalidTemplateProps=3, ok=False
elite_large_trident_01: floor=396, builtProps=4, propOutsideFloor=0, invalidTemplateProps=0, ok=True
Boss_Intro_01: floor=100, builtProps=0, propOutsideFloor=0, invalidTemplateProps=0, ok=True
Combat_Large_01: floor=120, builtProps=1, propOutsideFloor=1, invalidTemplateProps=1, ok=False
Combat_Medium_01: floor=60, builtProps=6, propOutsideFloor=6, invalidTemplateProps=6, ok=False
Combat_Small_01: floor=28, builtProps=1, propOutsideFloor=1, invalidTemplateProps=1, ok=False
Corridor_Linear_01: floor=24, builtProps=0, propOutsideFloor=0, invalidTemplateProps=0, ok=True
Corridor_LShape_01: floor=42, builtProps=0, propOutsideFloor=0, invalidTemplateProps=0, ok=True
Elite_01: floor=52, builtProps=0, propOutsideFloor=0, invalidTemplateProps=0, ok=True
Shrine_01: floor=40, builtProps=8, propOutsideFloor=8, invalidTemplateProps=8, ok=False
Spawn_01: floor=26, builtProps=0, propOutsideFloor=0, invalidTemplateProps=0, ok=True
Treasure_01: floor=42, builtProps=4, propOutsideFloor=0, invalidTemplateProps=0, ok=True
Chamber_CharSelect: floor=224, builtProps=17, propOutsideFloor=0, invalidTemplateProps=0, ok=True
exceptions=0, propValidationFailures=9, totalBuiltProps=142
[RoomSmokeTest] PASS (build exceptions=0)
