category,asset_name,recommended_size,format,slice_border,priority,screen
core,panel_9slice_small,96x96,png,16,P0,all
core,panel_9slice_large,160x160,png,24,P0,pause/reward/codex
core,corner_cyan_set,32x32 each,png,0,P0,all
core,divider_line_cyan,256x8,png,0,P1,pause/codex/reward
core,divider_line_amber,256x8,png,0,P1,pause/codex/reward
core,ornament_gem_cyan,32x32,png,0,P1,all
hud,portrait_frame,96x96,png,16,P0,gameplay
hud,hp_bar_frame,280x24,png,8,P0,gameplay
hud,resource_bar_frame,280x20,png,8,P0,gameplay
hud,resource_chip_frame,160x40,png,12,P0,gameplay
hud,objective_bullet_diamond,18x18,png,0,P1,gameplay
hotbar,hotbar_slot_normal,72x72,png,12,P0,gameplay
hotbar,hotbar_slot_active,72x72,png,12,P0,gameplay
hotbar,hotbar_slot_cooldown_overlay,72x72,png,0,P1,gameplay
hotbar,keycap_small,48x24,png,8,P0,gameplay
hotbar,count_bubble,24x24,png,0,P1,gameplay
minimap,minimap_frame,280x220,png,18,P0,gameplay/reward/pause
minimap,minimap_player_marker,20x20,png,0,P1,minimap
minimap,minimap_room_tile,32x32,png,0,P1,minimap
reward,reward_card_frame_9slice,180x180,png,24,P0,reward
reward,reward_rarity_ribbon_common,112x28,png,8,P0,reward
reward,reward_rarity_ribbon_rare,112x28,png,8,P0,reward
reward,reward_select_button_normal,180x52,png,12,P0,reward
pause,pause_panel_9slice,160x160,png,24,P0,pause
pause,pause_button_normal,340x58,png,12,P0,pause
pause,pause_button_hover,340x58,png,12,P0,pause
codex,codex_window_9slice,220x220,png,32,P0,codex
codex,class_tab_normal,220x52,png,10,P0,codex
codex,class_tab_selected,220x52,png,10,P0,codex
codex,skill_row_normal,1200x62,png,10,P0,codex
codex,skill_icon_frame_small,52x52,png,8,P0,codex
codex,scrollbar_track,16x512,png,8,P1,codex
debug_cleanup,enemy_spawn_warning_rune_red,64x64,png,0,P1,gameplay
