dhash_hamming_256bit,file_a,file_b
0,26_buildmode_tile_tool.png,27_buildmode_tile_painted.png
0,26_buildmode_tile_tool.png,28_buildmode_tile_erased.png
0,27_buildmode_tile_painted.png,28_buildmode_tile_erased.png
1,24_buildmode_entry_prop_palette.png,25_buildmode_prop_placed.png
2,05_combat_empty_fullhp_hud.png,06_run_map_branching_open.png
2,12_combat_enemy_attack_projectiles.png,13_combat_player_lmb_vfx.png
2,32_boss_spawn_full_hp_bar.png,33_boss_mid_hp_phase_transition.png
3,10_character_sheet_tab.png,13_combat_player_lmb_vfx.png
3,29_room_transition_portals_open.png,30_merchant_shop_room_stands.png
3,29_room_transition_portals_open.png,31_elite_room.png
4,10_character_sheet_tab.png,14_death_screen_enemy_kill.png
4,31_elite_room.png,34_boss_attack_residue.png
4,32_boss_spawn_full_hp_bar.png,34_boss_attack_residue.png
4,33_boss_mid_hp_phase_transition.png,34_boss_attack_residue.png
5,10_character_sheet_tab.png,12_combat_enemy_attack_projectiles.png
5,11_combat_multi_enemy_5mobs.png,14_death_screen_enemy_kill.png
5,13_combat_player_lmb_vfx.png,14_death_screen_enemy_kill.png
5,29_room_transition_portals_open.png,32_boss_spawn_full_hp_bar.png
5,29_room_transition_portals_open.png,33_boss_mid_hp_phase_transition.png
5,29_room_transition_portals_open.png,34_boss_attack_residue.png
