file,actual_size_px,category,purpose,usage_note,recommended_target_size_px
02_individual_assets_bgmagenta/frame/minimap_frame_280x220_style.png,1448x1086,Minimap,Minimap frame,9-slice stil referansı veya statik frame.,280x220
02_individual_assets_bgmagenta/markers/minimap_door_marker.png,390x530,Minimap,Kapı marker,Oda çıkışlarına koy.,12x12
02_individual_assets_bgmagenta/markers/minimap_player_marker.png,410x530,Minimap,Oyuncu marker,Oda tile üstünde göster.,20x20
02_individual_assets_bgmagenta/markers/minimap_room_tile.png,470x530,Minimap,Oda tile,Bilinen her oda için çiz.,16x16
02_individual_assets_bgmagenta/nodes/node_boss.png,270x385,RunMap node,Boss odası,"Her zaman en üst depth, tek node.",120x92 veya 132x100 UI boyutu
02_individual_assets_bgmagenta/nodes/node_chest.png,260x385,RunMap node,Hazine odası,Altın varyant.,120x92 veya 132x100 UI boyutu
02_individual_assets_bgmagenta/nodes/node_combat.png,265x385,RunMap node,Savaş odası,UI Image/Button olarak kullan. Yazıyı finalde TMP ile basmak daha temiz.,120x92 veya 132x100 UI boyutu
02_individual_assets_bgmagenta/nodes/node_connection_kit.png,260x400,Connection reference,Kesik bağlantı çizgisi örneği,UI LineRenderer veya tekrarlanan dash sprite ile üretmek daha iyi.,120x92 veya 132x100 UI boyutu
02_individual_assets_bgmagenta/nodes/node_current_combat_glow.png,275x400,RunMap node state,Mevcut oda vurgusu,Seçili/current node overlay olarak kullan.,120x92 veya 132x100 UI boyutu
02_individual_assets_bgmagenta/nodes/node_elite.png,275x385,RunMap node,Elit oda,Kırmızı varyant. Ulaşılabilirse clickable.,120x92 veya 132x100 UI boyutu
02_individual_assets_bgmagenta/nodes/node_event.png,275x400,RunMap node,Etkinlik odası,Mavi soru işareti.,120x92 veya 132x100 UI boyutu
02_individual_assets_bgmagenta/nodes/node_forge.png,265x400,RunMap node,Demirci / forge odası,Mor varyant.,120x92 veya 132x100 UI boyutu
02_individual_assets_bgmagenta/nodes/node_hidden.png,270x400,RunMap node state,Reveal edilmemiş node,Bilinmeyen gelecek yol için.,120x92 veya 132x100 UI boyutu
02_individual_assets_bgmagenta/nodes/node_merchant.png,275x385,RunMap node,Tüccar odası,Teal varyant.,120x92 veya 132x100 UI boyutu
02_individual_assets_bgmagenta/ribbons/reward_rarity_ribbon_common.png,1015x230,Reward Card,Common rarity ribbon,RewardCard üstüne yerleştir.,112x28 brief boyutu; büyük kartta 160x40 kullanılabilir
02_individual_assets_bgmagenta/ribbons/reward_rarity_ribbon_epic.png,1015x260,Reward Card,Epic rarity ribbon,RewardCard üstüne yerleştir.,112x28 brief boyutu; büyük kartta 160x40 kullanılabilir
02_individual_assets_bgmagenta/ribbons/reward_rarity_ribbon_rare.png,1015x260,Reward Card,Rare rarity ribbon,RewardCard üstüne yerleştir.,112x28 brief boyutu; büyük kartta 160x40 kullanılabilir
